   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:5(DecimalTuple)
        1    0.002    0.002    0.004    0.004 __init__.py:1(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:101(CFunctionType)
      130    0.000    0.000    0.000    0.000 __init__.py:1032(_options)
        1    0.000    0.000    0.000    0.000 __init__.py:1074(_register)
        1    0.000    0.000    0.000    0.000 __init__.py:1386(CallWrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:1389(__init__)
        1    0.000    0.000    0.016    0.016 __init__.py:1394(__call__)
        1    0.000    0.000    0.000    0.000 __init__.py:1406(XView)
        1    0.000    0.000    0.000    0.000 __init__.py:1427(YView)
       14    0.000    0.000    0.000    0.000 __init__.py:144(_check_size)
        1    0.000    0.000    0.000    0.000 __init__.py:1448(Wm)
        1    0.000    0.000    0.000    0.000 __init__.py:154(Variable)
        1    0.000    0.000    0.000    0.000 __init__.py:156(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:1607(wm_protocol)
        1    0.000    0.000    0.000    0.000 __init__.py:165(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:1650(Tk)
        1    0.000    0.000    0.040    0.040 __init__.py:1654(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1682(_loadtk)
        1    0.000    0.000    0.000    0.000 __init__.py:169(c_ushort)
        1    0.000    0.000    0.016    0.016 __init__.py:1710(destroy)
        1    0.000    0.000    0.000    0.000 __init__.py:1719(readprofile)
        1    0.000    0.000    0.000    0.000 __init__.py:173(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:177(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:1770(Pack)
        1    0.000    0.000    0.000    0.000 __init__.py:1774(pack_configure)
        1    0.000    0.000    0.000    0.000 __init__.py:1815(Place)
        1    0.000    0.000    0.000    0.000 __init__.py:1865(Grid)
        1    0.000    0.000    0.000    0.000 __init__.py:1918(BaseWidget)
        1    0.000    0.000    0.000    0.000 __init__.py:1920(_setup)
        1    0.000    0.000    0.000    0.000 __init__.py:194(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:1945(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1954(<listcomp>)
        1    0.000    0.000    0.001    0.001 __init__.py:1961(destroy)
        1    0.000    0.000    0.000    0.000 __init__.py:1972(Widget)
        1    0.000    0.000    0.000    0.000 __init__.py:1979(Toplevel)
        1    0.000    0.000    0.000    0.000 __init__.py:198(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:2007(Button)
        1    0.000    0.000    0.000    0.000 __init__.py:202(c_longdouble)
        1    0.000    0.000    0.000    0.000 __init__.py:2086(Canvas)
        1    0.000    0.000    0.000    0.000 __init__.py:2088(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:212(c_longlong)
        1    0.000    0.000    0.000    0.000 __init__.py:216(c_ulonglong)
      128    0.001    0.000    0.002    0.000 __init__.py:2163(_create)
      112    0.000    0.000    0.002    0.000 __init__.py:2183(create_line)
       16    0.000    0.000    0.000    0.000 __init__.py:2186(create_oval)
        1    0.000    0.000    0.000    0.000 __init__.py:223(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:230(StringVar)
        1    0.000    0.000    0.000    0.000 __init__.py:230(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:2327(Checkbutton)
        1    0.000    0.000    0.000    0.000 __init__.py:235(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:2356(Entry)
        1    0.000    0.000    0.000    0.000 __init__.py:240(c_char_p)
        1    0.000    0.000    0.000    0.000 __init__.py:2421(Frame)
        1    0.000    0.000    0.000    0.000 __init__.py:2439(Label)
        1    0.000    0.000    0.000    0.000 __init__.py:2461(Listbox)
        1    0.000    0.000    0.000    0.000 __init__.py:252(IntVar)
        1    0.000    0.000    0.000    0.000 __init__.py:252(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:2555(Menu)
        1    0.000    0.000    0.000    0.000 __init__.py:257(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:262(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:265(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:2676(Menubutton)
        1    0.000    0.000    0.000    0.000 __init__.py:268(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:2681(Message)
        1    0.000    0.000    0.000    0.000 __init__.py:2686(Radiobutton)
        1    0.000    0.000    0.000    0.000 __init__.py:2713(Scale)
        1    0.000    0.000    0.000    0.000 __init__.py:2746(Scrollbar)
        1    0.000    0.000    0.000    0.000 __init__.py:277(DoubleVar)
        1    0.000    0.000    0.000    0.000 __init__.py:2786(Text)
        1    0.000    0.000    0.000    0.000 __init__.py:284(create_unicode_buffer)
        1    0.000    0.000    0.000    0.000 __init__.py:296(BooleanVar)
        1    0.001    0.001    0.014    0.014 __init__.py:31(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:3113(_setit)
        1    0.000    0.000    0.000    0.000 __init__.py:3124(OptionMenu)
        1    0.000    0.000   39.636   39.636 __init__.py:315(mainloop)
        1    0.000    0.000    0.000    0.000 __init__.py:3161(Image)
        1    0.000    0.000    0.000    0.000 __init__.py:320(CDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:3221(PhotoImage)
        1    0.000    0.000    0.000    0.000 __init__.py:328(Misc)
        1    0.000    0.000    0.000    0.000 __init__.py:3281(BitmapImage)
        1    0.000    0.000    0.000    0.000 __init__.py:3293(Spinbox)
        2    0.000    0.000    0.000    0.000 __init__.py:335(destroy)
        2    0.000    0.000    0.000    0.000 __init__.py:337(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:3451(LabelFrame)
        2    0.000    0.000    0.000    0.000 __init__.py:347(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:3473(PanedWindow)
        4    0.000    0.000    0.000    0.000 __init__.py:363(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:3670(Studbutton)
        1    0.000    0.000    0.000    0.000 __init__.py:3678(Tributton)
        4    0.000    0.000    0.000    0.000 __init__.py:370(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:376(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:385(WinDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:394(HRESULT)
        1    0.000    0.000    0.000    0.000 __init__.py:407(OleDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:416(LibraryLoader)
        4    0.000    0.000    0.000    0.000 __init__.py:417(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:420(__getattr__)
